# inflection,upos,lemma (note that upos must be capitalized)

# The following pronouns are not in the lookup
all,NOUN,all
another,NOUN,another
any,NOUN,any
anybody,NOUN,anybody
anyone,NOUN,anyone
anything,NOUN,anything
aught,NOUN,aught
both,NOUN,both
each,NOUN,each
everybody,NOUN,everybody
everyone,NOUN,everyone
everything,NOUN,everything
he,NOUN,he
her,NOUN,her
hers,NOUN,hers
herself,NOUN,herself
him,NOUN,him
himself,NOUN,himself
his,NOUN,his
idem,NOUN,idem
it,NOUN,it
its,NOUN,its
itself,NOUN,itself
many,NOUN,many
me,NOUN,me
my,NOUN,my
myself,NOUN,myself
naught,NOUN,naught
neither,NOUN,neither
none,NOUN,none
our,NOUN,our
ours,NOUN,ours
ourself,NOUN,ourself
ourselves,NOUN,ourselves
she,NOUN,she
some,NOUN,some
somebody,NOUN,somebody
someone,NOUN,someone
something,NOUN,something
such,NOUN,such
suchlike,NOUN,suchlike
that,NOUN,that
thee,NOUN,thee
theirs,NOUN,theirs
their,NOUN,their
theirself,NOUN,theirself
theirselves,NOUN,theirselves
them,NOUN,them
themself,NOUN,themself
themselves,NOUN,themselves
these,NOUN,these
they,NOUN,they
thine,NOUN,thine
this,NOUN,this
those,NOUN,those
thou,NOUN,thou
thy,NOUN,thy
thyself,NOUN,thyself
us,NOUN,us
we,NOUN,we
what,NOUN,what
whatever,NOUN,whatever
whatnot,NOUN,whatnot
whether,NOUN,whether
which,NOUN,which
whichever,NOUN,whichever
whichsoever,NOUN,whichsoever
who,NOUN,who
whoever,NOUN,whoever
whom,NOUN,whom
whomever,NOUN,whomever
whomso,NOUN,whomso
whomsoever,NOUN,whomsoever
whose,NOUN,whose
whosever,NOUN,whosever
whosesoever,NOUN,whosesoever
whoso,NOUN,whoso
whosoever,NOUN,whosoever
ye,NOUN,ye
yon,NOUN,yon
you,NOUN,you
your,NOUN,your
yours,NOUN,yours
yourself,NOUN,yourself
yourselves,NOUN,yourselves
